elapsed_time(s),inner_steps,pdcp_iterations,outer_steps,pd_gap
351.54,60007387,154104,1671,0.00021356261661927868
352.756,60214124,154871,1681,0.00021237741567953043
353.936,60414092,155609,1691,0.00021116260454091124
355.158,60620546,156369,1701,0.0002099411728166984
356.413,60833618,157148,1711,0.00020875586926370933
357.59,61032992,157895,1721,0.00020752016916224247
358.805,61237631,158656,1731,0.00020628653668640883
360.009,61438502,159397,1741,0.00020503240474530754
361.289,61650312,160164,1751,0.00020387869994742923
362.475,61844554,160899,1761,0.0002027951366411953
363.727,62052535,161646,1771,0.00020166810723636942
364.918,62248651,162375,1781,0.00020098296078853786
366.067,62440093,163111,1791,0.00020035460647610005
367.191,62626491,163842,1801,0.000199680989713142
368.418,62830389,164595,1811,0.0001991305535340316
369.56,63020742,165322,1821,0.0001985670236696012
370.71,63211604,166060,1831,0.00019797738635859811
371.891,63407608,166802,1841,0.00019735481260326967
373.06,63600446,167522,1851,0.0001966825940776431
374.214,63791257,168256,1861,0.00019598277200508218
375.356,63979627,168987,1871,0.00019525051807040873
376.543,64175518,169727,1881,0.0001946840354282251
377.679,64364866,170457,1891,0.0001943538819801048
378.818,64553528,171178,1901,0.00019411148810363765
380.049,64755049,171918,1911,0.00019387373625864152
381.217,64947568,172658,1921,0.00019361598384054143
382.39,65135237,173394,1931,0.00019333075710022476
383.597,65330234,174140,1941,0.00019303547603973133
384.772,65521811,174875,1951,0.0001927015994375187
385.893,65704232,175589,1961,0.00019233527063958374
387.104,65897569,176335,1971,0.00019195551845307794
388.259,66085783,177065,1981,0.0001915518230212153
389.42,66276310,177798,1991,0.00019110677592321101
390.554,66461592,178509,2001,0.00019061773959139043
391.697,66646096,179228,2011,0.00019011642783032558
392.807,66824428,179916,2021,0.00018954965787447604
393.916,67004242,180624,2031,0.00018911645374355447
395.027,67183713,181317,2041,0.00018869149577683056
396.161,67363506,182012,2051,0.00018823067497489472
397.267,67542581,182711,2061,0.0001877407699988065
398.348,67717173,183406,2071,0.00018720966373887704
399.469,67898694,184118,2081,0.00018666129132076208
400.586,68079310,184827,2091,0.00018607576406805097
401.716,68262018,185544,2101,0.00018545755655120268
402.797,68436435,186230,2111,0.0001847888363782687
403.939,68621207,186948,2121,0.0001841023186353978
405.017,68794900,187623,2131,0.00018336010125586354
406.122,68973306,188322,2141,0.00018259731535851843
407.201,69147128,189002,2151,0.00018178635303168524
408.278,69320788,189686,2161,0.0001809359140199588
409.605,69499110,190378,2171,0.0001800721820497727
410.611,69680791,191080,2181,0.00017917816932589217
411.551,69850157,191753,2191,0.0001782335601836077
412.479,70015883,192414,2201,0.00017724827499048662
413.461,70190758,193102,2211,0.0001762501920235856
414.465,70367181,193790,2221,0.00017522338037966913
415.387,70531470,194452,2231,0.00017415211256832132
416.365,70706637,195132,2241,0.0001730678917486652
417.302,70873287,195798,2251,0.00017194306910973782
418.219,71031376,196454,2261,0.0001708117611153477
419.206,71205086,197133,2271,0.00016969017294112335
420.136,71370441,197792,2281,0.00016854277628089442
421.094,71539543,198452,2291,0.00016753956758018378
422.028,71702481,199092,2301,0.0001665940184332696
422.991,71871530,199745,2311,0.00016562722635348089
423.932,72036908,200410,2321,0.00016464634681928082
424.869,72200292,201049,2331,0.00016363150948171985
425.83,72366785,201697,2341,0.00016259794613521922
426.773,72529737,202346,2351,0.00016154934432346078
427.732,72694965,203005,2361,0.0001604862860604874
428.659,72853478,203628,2371,0.0001593884878106147
429.635,73022987,204290,2381,0.0001582955620782582
430.536,73177598,204904,2391,0.0001573024756469782
431.519,73343723,205540,2401,0.00015654687178742396
432.499,73510852,206197,2411,0.00015585273567896712
433.438,73669891,206847,2421,0.00015515855468350818
434.337,73824533,207480,2431,0.00015444333080278164
435.305,73991460,208138,2441,0.00015383933300916822
436.25,74153397,208786,2451,0.0001533985583748055
437.181,74312762,209402,2461,0.00015290877609580415
438.114,74471459,210015,2471,0.0001523897909677073
439.026,74626399,210631,2481,0.0001518507496097634
439.941,74782278,211247,2491,0.00015128549060846284
440.877,74941517,211888,2501,0.0001507063833444313
441.799,75098136,212501,2511,0.00015008618118814154
442.734,75258113,213146,2521,0.0001495382926410757
443.681,75419604,213782,2531,0.000149002045557841
